( 0,  0,  6) -> ( 0,  1,  6)
(19, 22, 404, 343) (19, 23, 395, 346) 11699
(17, 21, 560, 291) (16, 24, 556, 274) 6353
(17, 22, 548, 287) (21, 18, 548, 293) 8593
(60, 30, 371, 285) (61, 33, 363, 285) 37745
(18, 24, 550, 271) (14, 25, 542, 288) 10753
(45, 55, 534, 267) (21, 18, 548, 293) 52474
(23, 25, 402, 263) (21, 24, 394, 265) 8226
(60, 52, 371, 263) (61, 57, 363, 265) 60390
(21, 25, 320, 231) (22, 22, 310, 235) 5834

( 0,  0,  6) -> ( 0,  2,  6)
(19, 22, 404, 343) (19, 23, 384, 347) 6123
(17, 21, 560, 291) (25, 13, 523, 312) 5363
(17, 22, 548, 287) (16, 21, 530, 274) 7762
(60, 30, 371, 285) (60, 32, 352, 287) 31730
(18, 24, 550, 271) (16, 21, 530, 274) 5602
(45, 55, 534, 267) (14, 25, 543, 290) 54706
(23, 25, 402, 263) (21, 27, 383, 263) 11922
(60, 52, 371, 263) (60, 56, 352, 263) 36405
(21, 25, 320, 231) (21, 23, 299, 234) 8987

( 0,  0,  6) -> ( 0,  3,  6)
(19, 22, 404, 343) (19, 24, 375, 349) 8373
(17, 21, 560, 291) (16, 23, 531, 271) 5934
(17, 22, 548, 287) (16, 23, 531, 271) 7635
(60, 30, 371, 285) (62, 35, 341, 288) 36693
(18, 24, 550, 271) (18, 27, 519, 275) 6122
(45, 55, 534, 267) (28, 41, 519, 271) 50929
(23, 25, 402, 263) (21, 26, 372, 265) 12891
(60, 52, 371, 263) (62, 58, 341, 265) 43470
(21, 25, 320, 231) (21, 24, 288, 234) 6508

( 0,  0,  6) -> ( 0,  4,  6)
(19, 22, 404, 343) (18, 24, 366, 348) 7635
(17, 21, 560, 291) (20, 35, 517, 278) 5762
(17, 22, 548, 287) (14, 25, 523, 278) 8344
(60, 30, 371, 285) (62, 31, 331, 288) 30943
(18, 24, 550, 271) (20, 35, 517, 278) 9007
(45, 55, 534, 267) (20, 35, 517, 278) 44633
(23, 25, 402, 263) (20, 26, 364, 264) 10589
(60, 52, 371, 263) (62, 55, 331, 264) 30324
(21, 25, 320, 231) (20, 21, 279, 236) 9324

( 0,  0,  6) -> ( 0,  5,  6)
(19, 22, 404, 343) (19, 22, 355, 349) 9522
(17, 21, 560, 291) (22, 20, 487, 307) 5200
(17, 22, 548, 287) (38, 55, 487, 272) 6815
(60, 30, 371, 285) (62, 34, 320, 289) 30787
(18, 24, 550, 271) (16, 17, 497, 275) 7970
(45, 55, 534, 267) (38, 55, 487, 272) 39659
(23, 25, 402, 263) (22, 24, 352, 268) 12341
(60, 52, 371, 263) (62, 55, 320, 268) 52220
(21, 25, 320, 231) (24, 22, 265, 237) 6912
(12, 24, 32, 231) (29, 22, 11, 319) 14650
(17, 43, 30, 211) (29, 22, 11, 319) 43453
(17, 28, 29, 188) (29, 22, 11, 319) 18493
(18, 67, 29, 188) (29, 22, 11, 319) 48297

( 0,  0,  6) -> ( 0,  6,  6)
(19, 22, 404, 343) (21, 20, 342, 349) 7115
(17, 21, 560, 291) (19, 19, 474, 308) 4683
(17, 22, 548, 287) (37, 51, 474, 276) 5818
(60, 30, 371, 285) (63, 33, 308, 289) 25922
(18, 24, 550, 271) (19, 18, 490, 289) 8791
(45, 55, 534, 267) (37, 51, 474, 276) 49737
(23, 25, 402, 263) (22, 27, 342, 265) 4450
(60, 52, 371, 263) (63, 57, 308, 265) 32483
(21, 25, 320, 231) (23, 26, 254, 233) 5995
(12, 24, 32, 231) (42, 144, 0, 197) 14428
(17, 43, 30, 211) (42, 144, 0, 197) 46345
(17, 28, 29, 188) (42, 144, 0, 197) 19927
(18, 67, 29, 188) (42, 144, 0, 197) 47383

( 0,  0,  6) -> ( 0,  7,  6)
(19, 22, 404, 343) (20, 25, 340, 351) 7536
(17, 21, 560, 291) (22, 20, 471, 311) 5591
(17, 22, 548, 287) (36, 54, 471, 277) 8205
(60, 30, 371, 285) (65, 33, 305, 291) 35052
(18, 24, 550, 271) (16, 22, 481, 296) 7371
(45, 55, 534, 267) (36, 54, 471, 277) 37095
(23, 25, 402, 263) (23, 27, 339, 267) 16455
(60, 52, 371, 263) (65, 57, 305, 267) 45173
(21, 25, 320, 231) (21, 26, 252, 234) 11035
(12, 24, 32, 231) (28, 174, 0, 168) 14956
(17, 43, 30, 211) (23, 28, 4, 145) 36908
(17, 28, 29, 188) (23, 28, 4, 145) 25347
(18, 67, 29, 188) (23, 28, 4, 145) 61367

( 0,  0,  6) -> ( 0,  8,  6)
(19, 22, 404, 343) (20, 25, 328, 349) 8365
(17, 21, 560, 291) (17, 25, 477, 277) 4703
(17, 22, 548, 287) (39, 52, 455, 277) 7915
(60, 30, 371, 285) (65, 33, 293, 289) 40531
(18, 24, 550, 271) (21, 30, 464, 290) 10267
(45, 55, 534, 267) (39, 52, 455, 277) 42217
(23, 25, 402, 263) (23, 27, 238, 231) 17786
(60, 52, 371, 263) (65, 54, 293, 268) 77086
