(60, 52, 371, 263) (49, 53, 305, 270) 71050
(21, 25, 320, 231) (24, 26, 234, 233) 7124
(12, 24, 32, 231) (21, 14, 95, 333) 14560
(17, 28, 29, 188) (30, 26, 324, 290) 24514

( 0,  0,  6) -> ( 0, 10,  6)
(19, 22, 404, 343) (21, 26, 310, 349) 8425
(17, 21, 560, 291) (39, 64, 431, 268) 25441
(17, 22, 548, 287) (22, 28, 431, 297) 10869
(18, 24, 550, 271) (27, 49, 443, 268) 23639
(23, 25, 402, 263) (24, 26, 218, 231) 12951
(21, 25, 320, 231) (22, 23, 309, 268) 7726
(12, 24, 32, 231) (18, 19, 222, 390) 15460
(17, 28, 29, 188) (21, 15, 73, 330) 16061

( 0,  0,  6) -> ( 0, 11,  6)
(18, 67, 29, 188) (18, 18, 195, 390) 39368
(19, 22, 404, 343) (21, 24, 287, 351) 9075
(12, 24, 32, 231) (22, 14, 38, 329) 13182
(17, 28, 29, 188) (19, 17, 405, 315) 25330
(17, 43, 30, 211) (19, 25, 405, 315) 34883
(17, 22, 548, 287) (14, 24, 422, 298) 7435
(45, 55, 534, 267) (14, 19, 413, 291) 23271
(60, 30, 371, 285) (67, 33, 249, 288) 40838
(18, 24, 550, 271) (16, 32, 429, 277) 9447
(17, 21, 560, 291) (13, 23, 420, 276) 5205
(21, 25, 320, 231) (24, 26, 285, 265) 8007
(60, 52, 371, 263) (67, 56, 249, 265) 58340
(23, 25, 402, 263) (24, 27, 194, 228) 13114

( 0,  1,  6) -> ( 0,  2,  6)
(19, 23, 395, 346) (19, 23, 384, 347) 7140
(53, 16, 88, 335) (34, 11, 170, 336) 14166
(16, 24, 556, 274) (21, 14, 202, 326) 13924
(35, 16, 95, 335) (55, 22, 168, 326) 23301
(21, 18, 548, 293) (25, 13, 523, 312) 5887
(30, 44, 542, 274) (14, 25, 543, 290) 18871
(61, 33, 363, 285) (60, 32, 352, 287) 39290
(14, 25, 542, 288) (24, 34, 182, 278) 13743
(21, 15, 88, 335) (16, 21, 530, 274) 6584
(21, 24, 394, 265) (21, 27, 383, 263) 7756
(61, 57, 363, 265) (60, 56, 352, 263) 59152
(22, 22, 310, 235) (21, 23, 299, 234) 10627

( 0,  1,  6) -> ( 0,  3,  6)
(16, 24, 556, 274) (19, 24, 375, 349) 16694
(53, 16, 88, 335) (33, 15, 61, 338) 12508
(21, 15, 88, 335) (35, 17, 41, 337) 6392
(14, 25, 542, 288) (20, 15, 185, 329) 14084
(61, 33, 363, 285) (62, 35, 341, 288) 49495
(35, 16, 95, 335) (18, 27, 519, 275) 14168
(30, 44, 542, 274) (16, 23, 531, 271) 17190
(21, 18, 548, 293) (28, 41, 519, 271) 16252
(21, 24, 394, 265) (21, 26, 372, 265) 8919
(61, 57, 363, 265) (62, 58, 341, 265) 53332
(22, 22, 310, 235) (21, 24, 288, 234) 6682
(19, 23, 395, 346) (60, 134, 43, 207) 224962

( 0,  1,  6) -> ( 0,  4,  6)
(16, 24, 556, 274) (18, 24, 366, 348) 19196
(53, 16, 88, 335) (41, 17, 29, 336) 11659
(21, 15, 88, 335) (19, 14, 171, 328) 12900
(35, 16, 95, 335) (22, 16, 499, 308) 14495
(61, 33, 363, 285) (62, 31, 331, 288) 40022
(21, 18, 548, 293) (14, 25, 523, 278) 7462
(30, 44, 542, 274) (20, 35, 517, 278) 21147
(21, 24, 394, 265) (20, 26, 364, 264) 6463
(61, 57, 363, 265) (62, 55, 331, 264) 52753
(22, 22, 310, 235) (20, 21, 279, 236) 9150
(19, 23, 395, 346) (61, 140, 25, 199) 227731
(14, 25, 542, 288) (28, 19, 39, 196) 27827

( 0,  1,  6) -> ( 0,  5,  6)
(19, 23, 395, 346) (19, 22, 355, 349) 8269
(53, 16, 88, 335) (22, 14, 11, 338) 8251
(21, 15, 88, 335) (19, 14, 151, 330) 12952
(16, 24, 556, 274) (29, 22, 11, 319) 30050
(14, 25, 542, 288) (22, 20, 487, 307) 10089
(61, 33, 363, 285) (62, 34, 320, 289) 34990
(30, 44, 542, 274) (21, 35, 504, 282) 15874
(35, 16, 95, 335) (16, 17, 497, 275) 10219
(21, 18, 548, 293) (38, 55, 487, 272) 22995
(21, 24, 394, 265) (22, 24, 352, 268) 7221
(61, 57, 363, 265) (62, 55, 320, 268) 37584
(22, 22, 310, 235) (24, 22, 265, 237) 9145

( 0,  1,  6) -> ( 0,  6,  6)
(14, 25, 542, 288) (17, 16, 258, 387) 15066
(19, 23, 395, 346) (21, 20, 342, 349) 8710
(35, 16, 95, 335) (20, 15, 9, 339) 3169
(16, 24, 556, 274) (19, 19, 474, 308) 6560
(53, 16, 88, 335) (26, 18, 480, 298) 18017
(21, 18, 548, 293) (19, 18, 490, 289) 6414
(61, 33, 363, 285) (63, 33, 308, 289) 29750
(30, 44, 542, 274) (16, 23, 483, 278) 14223
(21, 15, 88, 335) (15, 21, 496, 276) 6701
(22, 22, 310, 235) (22, 27, 342, 265) 9103
(61, 57, 363, 265) (63, 57, 308, 265) 71108
(21, 24, 394, 265) (23, 26, 254, 233) 8211

( 0,  1,  6) -> ( 0,  7,  6)
(19, 23, 395, 346) (28, 174, 0, 168) 179149
(35, 16, 95, 335) (36, 54, 471, 277) 26244
(21, 15, 88, 335) (23, 28, 4, 145) 32020
(53, 16, 88, 335) (20, 15, 124, 332) 30256
(21, 18, 548, 293) (22, 20, 471, 311) 8410
(14, 25, 542, 288) (21, 23, 253, 386) 19546
(61, 33, 363, 285) (65, 33, 305, 291) 33954
(16, 24, 556, 274) (20, 25, 340, 351) 21700
(30, 44, 542, 274) (16, 22, 481, 296) 16445
(21, 24, 394, 265) (23, 27, 339, 267) 9402
(61, 57, 363, 265) (65, 57, 305, 267) 66596
(22, 22, 310, 235) (21, 26, 252, 234) 10619

( 0,  1,  6) -> ( 0,  8,  6)
(19, 23, 395, 346) (20, 25, 328, 349) 8040
(35, 16, 95, 335) (22, 22, 455, 307) 17249
(21, 15, 88, 335) (20, 14, 107, 330) 18709
(21, 18, 548, 293) (39, 52, 455, 277) 20258
(14, 25, 542, 288) (21, 30, 464, 290) 8821
(61, 33, 363, 285) (65, 33, 293, 289) 39354
(16, 24, 556, 274) (7, 77, 0, 241) 50308
(30, 44, 542, 274) (17, 25, 477, 277) 16159
(21, 24, 394, 265) (23, 24, 327, 268) 14446
