(21, 25, 320, 231) (28, 33, 319, 224) 9440

( 1,  0,  6) -> ( 2,  0,  6)
(18, 26, 406, 346) (19, 23, 408, 351) 8414
(17, 72, 11, 184) (19, 16, 231, 329) 42775
(18, 15, 233, 326) (21, 16, 229, 329) 4280
(62, 31, 372, 287) (64, 32, 373, 288) 37602
(27, 24, 558, 270) (18, 29, 566, 276) 17269
(25, 26, 404, 264) (23, 26, 406, 265) 11709
(62, 54, 372, 264) (64, 55, 373, 265) 40257
(22, 26, 320, 231) (23, 25, 319, 232) 15083

( 1,  0,  6) -> ( 3,  0,  6)
(18, 26, 406, 346) (20, 27, 406, 350) 8745
(17, 72, 11, 184) (21, 14, 221, 332) 44042
(27, 24, 558, 270) (29, 20, 561, 305) 13263
(18, 15, 233, 326) (16, 16, 581, 299) 11647
(62, 31, 372, 287) (67, 35, 368, 287) 25070
(25, 26, 404, 264) (26, 24, 403, 267) 11408
(62, 54, 372, 264) (67, 55, 368, 267) 42234
(22, 26, 320, 231) (23, 27, 314, 229) 10893

( 1,  0,  6) -> ( 4,  0,  6)
(17, 72, 11, 184) (21, 24, 409, 352) 47458
(18, 15, 233, 326) (22, 16, 219, 334) 5762
(18, 26, 406, 346) (12, 23, 599, 293) 15530
(62, 31, 372, 287) (69, 35, 372, 287) 24641
(27, 24, 558, 270) (17, 25, 587, 286) 10160
(25, 26, 404, 264) (23, 23, 408, 268) 15267
(62, 54, 372, 264) (69, 54, 372, 268) 63161
(22, 26, 320, 231) (22, 28, 317, 227) 13137

( 1,  0,  6) -> ( 5,  0,  6)
(18, 26, 406, 346) (21, 24, 414, 355) 10308
(18, 15, 233, 326) (22, 16, 216, 337) 6897
(17, 72, 11, 184) (20, 13, 344, 321) 50765
(62, 31, 372, 287) (71, 35, 374, 287) 27065
(27, 24, 558, 270) (19, 19, 589, 277) 9497
(25, 26, 404, 264) (24, 29, 411, 262) 16817
(62, 54, 372, 264) (71, 60, 374, 262) 33893
(22, 26, 320, 231) (24, 28, 317, 226) 9898

( 1,  0,  6) -> ( 6,  0,  6)
(17, 72, 11, 184) (18, 22, 322, 401) 41822
(18, 26, 406, 346) (21, 23, 417, 360) 10496
(18, 15, 233, 326) (23, 17, 212, 341) 6697
(62, 31, 372, 287) (72, 36, 378, 289) 25557
(27, 24, 558, 270) (20, 24, 617, 274) 10846
(25, 26, 404, 264) (28, 30, 414, 262) 9445
(62, 54, 372, 264) (72, 64, 378, 261) 35519
(22, 26, 320, 231) (24, 29, 317, 225) 13889

( 1,  0,  6) -> ( 7,  0,  6)
(18, 26, 406, 346) (22, 28, 422, 364) 10318
(18, 15, 233, 326) (24, 18, 208, 346) 7820
(17, 72, 11, 184) (21, 14, 349, 328) 43954
(25, 26, 404, 264) (28, 20, 602, 315) 20029
(62, 31, 372, 287) (74, 39, 380, 290) 36116
(27, 24, 558, 270) (22, 15, 610, 288) 12116
